code,system
14594001,gprdproduct
6183001,gprdproduct
14890001,gprdproduct
1431009,gprdproduct
13977001,gprdproduct
5232001,gprdproduct
4588009,gprdproduct
12002,gprdproduct
3620002,gprdproduct
7062002,gprdproduct
7108001,gprdproduct
2332010,gprdproduct
5791001,gprdproduct
1916001,gprdproduct
6165001,gprdproduct
3621001,gprdproduct
1670009,gprdproduct
181001,gprdproduct
14692001,gprdproduct
7406002,gprdproduct
3782003,gprdproduct
328009,gprdproduct
1657009,gprdproduct
2417002,gprdproduct
604002,gprdproduct
9672002,gprdproduct
4210001,gprdproduct
4049009,gprdproduct
13999001,gprdproduct
1210001,gprdproduct
874010,gprdproduct
8846003,gprdproduct
3255010,gprdproduct
7406001,gprdproduct
2955002,gprdproduct
6182001,gprdproduct
7226001,gprdproduct
3879009,gprdproduct
6672001,gprdproduct
13459001,gprdproduct
4996009,gprdproduct
3973001,gprdproduct
6237009,gprdproduct
539010,gprdproduct
3246001,gprdproduct
12199001,gprdproduct
13409001,gprdproduct
511011,gprdproduct
6504009,gprdproduct
9913002,gprdproduct
13543001,gprdproduct
2286009,gprdproduct
6168001,gprdproduct
2756001,gprdproduct
2792009,gprdproduct
2875009,gprdproduct
8266001,gprdproduct
3383002,gprdproduct
14428001,gprdproduct
3921009,gprdproduct
7463001,gprdproduct
2128009,gprdproduct
852010,gprdproduct
5787001,gprdproduct
4418001,gprdproduct
7792002,gprdproduct
1375009,gprdproduct
2266007,gprdproduct
10094001,gprdproduct
8812002,gprdproduct
1211001,gprdproduct
11452002,gprdproduct
2333010,gprdproduct
5621009,gprdproduct
11024001,gprdproduct
13088001,gprdproduct
2123011,gprdproduct
10101001,gprdproduct
13458001,gprdproduct
4534002,gprdproduct
7475001,gprdproduct
3117009,gprdproduct
14895001,gprdproduct
6447009,gprdproduct
1279011,gprdproduct
9262003,gprdproduct
3908009,gprdproduct
3125010,gprdproduct
2208003,gprdproduct
5790002,gprdproduct
5231001,gprdproduct
853009,gprdproduct
5172001,gprdproduct
3383001,gprdproduct
4713009,gprdproduct
1696009,gprdproduct
2996001,gprdproduct
2445009,gprdproduct
9647001,gprdproduct
3269009,gprdproduct
853011,gprdproduct
6459009,gprdproduct
6573001,gprdproduct
13902001,gprdproduct
1918001,gprdproduct
7792001,gprdproduct
2996003,gprdproduct
333009,gprdproduct
6054009,gprdproduct
2997002,gprdproduct
770009,gprdproduct
10385001,gprdproduct
10898001,gprdproduct
3816007,gprdproduct
2206001,gprdproduct
364009,gprdproduct
569010,gprdproduct
872010,gprdproduct
2333009,gprdproduct
3175009,gprdproduct
4120001,gprdproduct
1541002,gprdproduct
2042009,gprdproduct
6295009,gprdproduct
9454001,gprdproduct
3697009,gprdproduct
12289001,gprdproduct
4534003,gprdproduct
2417001,gprdproduct
6532001,gprdproduct
5421001,gprdproduct
9875001,gprdproduct
9647003,gprdproduct
1981003,gprdproduct
373009,gprdproduct
9491002,gprdproduct
6812009,gprdproduct
3363007,gprdproduct
10321003,gprdproduct
6414009,gprdproduct
5808009,gprdproduct
1981002,gprdproduct
2694007,gprdproduct
10903001,gprdproduct
11452003,gprdproduct
5419002,gprdproduct
2332009,gprdproduct
2015009,gprdproduct
325010,gprdproduct
6058009,gprdproduct
6568003,gprdproduct
5526001,gprdproduct
14741001,gprdproduct
6691007,gprdproduct
10320003,gprdproduct
9913001,gprdproduct
13873001,gprdproduct
5788001,gprdproduct
6740003,gprdproduct
3654007,gprdproduct
1905002,gprdproduct
1981001,gprdproduct
1541003,gprdproduct
14744001,gprdproduct
11961002,gprdproduct
4390009,gprdproduct
851010,gprdproduct
329009,gprdproduct
1266009,gprdproduct
10321001,gprdproduct
4731009,gprdproduct
11023001,gprdproduct
4732009,gprdproduct
6293009,gprdproduct
5420001,gprdproduct
3126009,gprdproduct
6694001,gprdproduct
6815001,gprdproduct
3620003,gprdproduct
740002,gprdproduct
851009,gprdproduct
6493009,gprdproduct
7408001,gprdproduct
3877009,gprdproduct
6815003,gprdproduct
13427001,gprdproduct
8728001,gprdproduct
7322002,gprdproduct
2136009,gprdproduct
6888001,gprdproduct
7951002,gprdproduct
1643009,gprdproduct
10319001,gprdproduct
8365002,gprdproduct
5322009,gprdproduct
